Confirmed,Recovered,Deaths
9,0,0
14,0,0
15,0,0
15,2,0
20,2,0
27,2,0
36,2,0
49,3,0
63,3,0
86,4,0
110,4,0
170,4,0
170,5,0
207,5,0
245,10,0
271,13,0
291,16,0
316,22,0
339,31,0
354,39,0
366,46,0
369,56,0
375,66,0
386,82,0
391,94,0
400,104,0
406,115,0
414,131,0
415,152,2
416,163,2
416,182,2
416,199,2
417,222,2
417,226,3
417,237,3
417,249,3
417,262,3
417,271,3
417,281,3
417,281,3
417,299,3
417,308,3
418,320,3
418,332,3
418,341,3
418,350,3
419,358,3
419,361,3
419,368,3
419,373,3
